,Unnamed: 0,Chord,Composer,File,NormalForm,Offset,PCsInNormalForm,beatNumber,measureNumber,pieceNumber,pieceName,movementName,genre,publicationYear,Epoch,Source,fileFormat,phraseAnalysis,fileConversion,getChords,Common Names,Contains 7th,isExtended,extendedInd
4592,4592,<music21.chord.Chord C5 B3 C4>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 1]",19,"[11, 0]",2,10,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,Minor Ninth,FALSE,Extended Chord,1
4596,4596,<music21.chord.Chord F4 F3 A3 C4>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 4, 7]",20,"[5, 9, 0]",1,11,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,major triad,FALSE,Not Extended Chord,0
4599,4599,<music21.chord.Chord F4 A3 C#4>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 4, 8]",21,"[1, 5, 9]",2,11,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,augmented triad,FALSE,Not Extended Chord,0
4602,4602,<music21.chord.Chord F4 B-3 D4>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 4, 7]",22,"[10, 2, 5]",1,12,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,major triad,FALSE,Not Extended Chord,0
4605,4605,<music21.chord.Chord D4 B-2 F3>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 4, 7]",23,"[10, 2, 5]",2,12,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,major triad,FALSE,Not Extended Chord,0
4607,4607,<music21.chord.Chord D4 G2>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 5]",24,"[2, 7]",1,13,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,Perfect Twelfth,FALSE,Not Extended Chord,0
4610,4610,<music21.chord.Chord F4 D3 B3>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 3, 6]",25,"[11, 2, 5]",2,13,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,diminished triad,FALSE,Not Extended Chord,0
4613,4613,<music21.chord.Chord G4 A2>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 2]",26,"[7, 9]",1,14,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,Minor Fourteenth,FALSE,Extended Chord,1
4616,4616,<music21.chord.Chord E4 G3 C#4>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 3, 6]",27,"[1, 4, 7]",2,14,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,diminished triad,FALSE,Not Extended Chord,0
4620,4620,<music21.chord.Chord D4 D3 F3 A3>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 3, 7]",29,"[2, 5, 9]",2,15,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,minor triad,FALSE,Not Extended Chord,0
4623,4623,<music21.chord.Chord D4 D3 F3 A3>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 3, 7]",30,"[2, 5, 9]",1,16,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,minor triad,FALSE,Not Extended Chord,0
4628,4628,<music21.chord.Chord F4 F3 A3>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 4]",33,"[5, 9]",2,17,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,Perfect Octave,FALSE,Not Extended Chord,0
4631,4631,<music21.chord.Chord A4 D2>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 5]",34,"[9, 2]",1,18,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,Perfect Nineteenth,FALSE,Not Extended Chord,0
4634,4634,<music21.chord.Chord D4 G3 B3>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 4, 7]",35,"[7, 11, 2]",2,18,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,major triad,FALSE,Not Extended Chord,0
4637,4637,<music21.chord.Chord A4 D2>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 5]",36,"[9, 2]",1,19,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,Perfect Nineteenth,FALSE,Not Extended Chord,0
4638,4638,<music21.chord.Chord A4 A3 D4 F4>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 3, 7]",37,"[2, 5, 9]",2,19,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,minor triad,FALSE,Not Extended Chord,0
4641,4641,<music21.chord.Chord A4 A3 D4 F4>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 3, 7]",38,"[2, 5, 9]",1,20,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,minor triad,FALSE,Not Extended Chord,0
4645,4645,<music21.chord.Chord B4 D4 F4>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 3, 6]",41,"[11, 2, 5]",2,21,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,diminished triad,FALSE,Not Extended Chord,0
4648,4648,<music21.chord.Chord C5 A2>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 3]",42,"[9, 0]",1,22,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,Minor Seventeenth,FALSE,Not Extended Chord,0
4650,4650,<music21.chord.Chord C5 C4 F4>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 5]",43,"[0, 5]",2,22,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,Perfect Octave,FALSE,Not Extended Chord,0
4656,4656,<music21.chord.Chord G4 C4 D4>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 2, 7]",45,"[0, 2, 7]",2,23,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,quartal trichord,FALSE,Extended Chord,1
4659,4659,<music21.chord.Chord G4 B3 D4>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 4, 7]",46,"[7, 11, 2]",1,24,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,major triad,FALSE,Not Extended Chord,0
4660,4660,<music21.chord.Chord G4 F2>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 2]",48,"[5, 7]",1,25,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,Major Sixteenth,FALSE,Extended Chord,1
4663,4663,<music21.chord.Chord B4 G3 D4>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 4, 7]",49,"[7, 11, 2]",2,25,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,major triad,FALSE,Not Extended Chord,0
4666,4666,<music21.chord.Chord C5 E2>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 4]",50,"[0, 4]",1,26,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,Minor Twentieth,FALSE,Not Extended Chord,0
4668,4668,<music21.chord.Chord C5 B3 C4>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 1]",51,"[11, 0]",2,26,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,Minor Ninth,FALSE,Extended Chord,1
4672,4672,<music21.chord.Chord F4 F3 A3 C4>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 4, 7]",52,"[5, 9, 0]",1,27,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,major triad,FALSE,Not Extended Chord,0
4675,4675,<music21.chord.Chord F4 A3 C#4>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 4, 8]",53,"[1, 5, 9]",2,27,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,augmented triad,FALSE,Not Extended Chord,0
4678,4678,<music21.chord.Chord F4 B-3 D4>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 4, 7]",54,"[10, 2, 5]",1,28,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,major triad,FALSE,Not Extended Chord,0
4681,4681,<music21.chord.Chord D4 B-2 F3>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 4, 7]",55,"[10, 2, 5]",2,28,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,major triad,FALSE,Not Extended Chord,0
4683,4683,<music21.chord.Chord D4 G2>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 5]",56,"[2, 7]",1,29,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,Perfect Twelfth,FALSE,Not Extended Chord,0
4686,4686,<music21.chord.Chord F4 D3 B3>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 3, 6]",57,"[11, 2, 5]",2,29,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,diminished triad,FALSE,Not Extended Chord,0
4689,4689,<music21.chord.Chord G4 A2>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 2]",58,"[7, 9]",1,30,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,Minor Fourteenth,FALSE,Extended Chord,1
4692,4692,<music21.chord.Chord E4 G3 C#4>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 3, 6]",59,"[1, 4, 7]",2,30,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,diminished triad,FALSE,Not Extended Chord,0
4696,4696,<music21.chord.Chord D4 D3 F3 A3>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 3, 7]",61,"[2, 5, 9]",2,31,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,minor triad,FALSE,Not Extended Chord,0
4699,4699,<music21.chord.Chord D4 D3 F3 A3>,Bartok,Romanian Folk Dances 2 Braul D minor.mid,"[0, 3, 7]",62,"[2, 5, 9]",1,32,piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,1917,1870-1919,YCAC,CSV,N,,,minor triad,FALSE,Not Extended Chord,0
4700,4700,<music21.chord.Chord F#1 D#2>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 3]",1,"[3, 6]",2,1,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Major Sixth,FALSE,Not Extended Chord,0
4701,4701,<music21.chord.Chord G#3 C#4 E4 G4 D-5 F5>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 3, 4, 6, 7]",2,"[1, 4, 5, 7, 8]",3,1,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,major-minor diminished pentachord,FALSE,Extended Chord,1
4702,4702,<music21.chord.Chord G#3 C#4 E4 G4 D-5 F5>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 3, 4, 6, 7]",4,"[1, 4, 5, 7, 8]",1,2,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,major-minor diminished pentachord,FALSE,Extended Chord,1
4705,4705,<music21.chord.Chord C#4 F#4 A4 D5 G#5 D6>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 1, 5, 7, 8]",7,"[1, 2, 6, 8, 9]",4,2,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Hirajoshi pentatonic,TRUE,Extended Chord,1
4706,4706,<music21.chord.Chord C#4 F#4 A4 D5 G#5 D6>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 1, 5, 7, 8]",8,"[1, 2, 6, 8, 9]",1,3,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Hirajoshi pentatonic,TRUE,Extended Chord,1
4707,4707,<music21.chord.Chord C#4 F#4 A4 D5 G#5 D6>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 1, 5, 7, 8]",9,"[1, 2, 6, 8, 9]",2,3,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Hirajoshi pentatonic,TRUE,Extended Chord,1
4709,4709,<music21.chord.Chord G-2 F3>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 1]",10,"[5, 6]",3,3,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Major Seventh,FALSE,Extended Chord,1
4710,4710,<music21.chord.Chord G-2 F3>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 1]",11,"[5, 6]",4,3,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Major Seventh,FALSE,Extended Chord,1
4712,4712,<music21.chord.Chord C#4 G#4 B4 F5 B-5 E6>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 1, 4, 6, 7, 9]",12,"[4, 5, 8, 10, 11, 1]",1,4,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,combinatorial RI (RI1),TRUE,Extended Chord,1
4713,4713,<music21.chord.Chord D-3 C4>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 1]",14,"[0, 1]",3,4,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Major Seventh,FALSE,Extended Chord,1
4714,4714,<music21.chord.Chord D-3 C4>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 1]",16,"[0, 1]",1,5,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Major Seventh,FALSE,Extended Chord,1
4718,4718,<music21.chord.Chord F#1 G5 C#6 G6>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 5, 6]",18,"[1, 6, 7]",3,5,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,tritone-fourth,FALSE,Extended Chord,1
4719,4719,<music21.chord.Chord C3 G#3 C4 F#4 B4>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 2, 5, 6]",19,"[6, 8, 11, 0]",4,5,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,all-interval tetrachord,FALSE,Extended Chord,1
4720,4720,<music21.chord.Chord C3 G#3 C4 F#4 B4>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 2, 5, 6]",20,"[6, 8, 11, 0]",1,6,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,all-interval tetrachord,FALSE,Extended Chord,1
4726,4726,<music21.chord.Chord B-3 C4 E4 G#4 D5>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 2, 4, 6, 8]",23,"[8, 10, 0, 2, 4]",4,6,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,whole-tone pentachord,TRUE,Extended Chord,1
4730,4730,<music21.chord.Chord B-3 E-4 F4 B4 D#5 B5>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 1, 5, 7]",26,"[10, 11, 3, 5]",3,7,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,minor-second quartal tetrachord,FALSE,Extended Chord,1
4731,4731,<music21.chord.Chord B-3 E-4 F4>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 2, 7]",27,"[3, 5, 10]",4,7,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,quartal trichord,FALSE,Extended Chord,1
4736,4736,<music21.chord.Chord C#4 F#4 A4 D5 F#5 C6>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 3, 6, 7, 8]",29,"[6, 9, 0, 1, 2]",2,8,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,diminished pentacluster,TRUE,Extended Chord,1
4737,4737,<music21.chord.Chord C#4 F#4 A4 D5 F#5 C6>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 3, 6, 7, 8]",30,"[6, 9, 0, 1, 2]",3,8,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,diminished pentacluster,TRUE,Extended Chord,1
4739,4739,<music21.chord.Chord D-2 C3>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 1]",31,"[0, 1]",4,8,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Major Seventh,FALSE,Extended Chord,1
4740,4740,<music21.chord.Chord D-2 C3>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 1]",32,"[0, 1]",1,9,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Major Seventh,FALSE,Extended Chord,1
4742,4742,<music21.chord.Chord E-3 B3 C4 E4 A#4 E5>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 1, 2, 5, 6]",33,"[10, 11, 0, 3, 4]",2,9,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Asian pentacluster,FALSE,Extended Chord,1
4743,4743,<music21.chord.Chord E-3 B3 C4 E4 G#4>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 3, 4, 7, 8]",34,"[8, 11, 0, 3, 4]",3,9,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Lebanese pentachord,TRUE,Extended Chord,1
4744,4744,<music21.chord.Chord E-3 B3 C4 E4 G#4>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 3, 4, 7, 8]",35,"[8, 11, 0, 3, 4]",4,9,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Lebanese pentachord,TRUE,Extended Chord,1
4747,4747,<music21.chord.Chord C#3 G#3 B3 D4>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 3, 5, 6]",36,"[8, 11, 1, 2]",1,10,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,perfect-fourth diminished tetrachord,FALSE,Extended Chord,1
4748,4748,<music21.chord.Chord C3 E-3 G3 C4 E-4>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 3, 7]",37,"[0, 3, 7]",2,10,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,minor triad,FALSE,Not Extended Chord,0
4749,4749,<music21.chord.Chord C3 E-3 G3 C4 E-4>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 3, 7]",38,"[0, 3, 7]",3,10,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,minor triad,FALSE,Not Extended Chord,0
4752,4752,<music21.chord.Chord B2 E-3 F3 B3 C#4>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 2, 4, 6]",39,"[11, 1, 3, 5]",4,10,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,whole-tone tetramirror,FALSE,Extended Chord,1
4753,4753,<music21.chord.Chord B2 E-3 F3 B3 C#4>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 2, 4, 6]",40,"[11, 1, 3, 5]",1,11,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,whole-tone tetramirror,FALSE,Extended Chord,1
4756,4756,<music21.chord.Chord A2 C#3 E3 B-3>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 1, 4, 7]",41,"[9, 10, 1, 4]",2,11,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,major-diminished tetrachord,FALSE,Extended Chord,1
4757,4757,<music21.chord.Chord A2 C#3 E3 B-3>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 1, 4, 7]",42,"[9, 10, 1, 4]",3,11,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,major-diminished tetrachord,FALSE,Extended Chord,1
4761,4761,<music21.chord.Chord B-2 D3 G3 A-3>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 1, 3, 7]",43,"[7, 8, 10, 2]",4,11,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,all-interval tetrachord,FALSE,Extended Chord,1
4762,4762,<music21.chord.Chord B-2 D3 G3 A-3>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 1, 3, 7]",44,"[7, 8, 10, 2]",1,12,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,all-interval tetrachord,FALSE,Extended Chord,1
4766,4766,<music21.chord.Chord F2 F3 G3>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 2]",45,"[5, 7]",2,12,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Perfect Octave,FALSE,Extended Chord,1
4767,4767,<music21.chord.Chord F2 F3 G3>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 2]",48,"[5, 7]",1,13,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Perfect Octave,FALSE,Extended Chord,1
4768,4768,<music21.chord.Chord F3 G3>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 2]",49,"[5, 7]",2,13,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Major Second,FALSE,Extended Chord,1
4770,4770,<music21.chord.Chord F3 A-3>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 3]",51,"[5, 8]",4,13,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Minor Third,FALSE,Not Extended Chord,0
4773,4773,<music21.chord.Chord A#2 E3>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 6]",53,"[4, 10]",2,14,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Diminished Fifth,FALSE,Not Extended Chord,0
4777,4777,<music21.chord.Chord E-3 A3>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 6]",55,"[3, 9]",4,14,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Augmented Fourth,FALSE,Not Extended Chord,0
4788,4788,<music21.chord.Chord D-4 F4>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 4]",58,"[1, 5]",3,15,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Major Third,FALSE,Not Extended Chord,0
4796,4796,<music21.chord.Chord F#5 B5>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 5]",61,"[6, 11]",2,16,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Perfect Fourth,FALSE,Not Extended Chord,0
4809,4809,<music21.chord.Chord C5 B5>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 1]",66,"[11, 0]",3,17,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Major Seventh,FALSE,Extended Chord,1
4810,4810,<music21.chord.Chord C5 B5>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 1]",67,"[11, 0]",4,17,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Major Seventh,FALSE,Extended Chord,1
4815,4815,<music21.chord.Chord C5 G5>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 5]",68,"[7, 0]",1,18,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Perfect Fifth,FALSE,Not Extended Chord,0
4818,4818,<music21.chord.Chord G4 B5>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 4]",69,"[7, 11]",2,18,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Major Tenth,FALSE,Not Extended Chord,0
4821,4821,<music21.chord.Chord C5 B5>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 1]",70,"[11, 0]",3,18,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Major Seventh,FALSE,Extended Chord,1
4825,4825,<music21.chord.Chord B4 B-5>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 1]",71,"[10, 11]",4,18,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Diminished Octave,FALSE,Extended Chord,1
4832,4832,<music21.chord.Chord G#4 F5>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 3]",73,"[5, 8]",2,19,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Diminished Seventh,FALSE,Not Extended Chord,0
4837,4837,<music21.chord.Chord G#4 E-5>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 5]",74,"[3, 8]",3,19,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Diminished Sixth,FALSE,Not Extended Chord,0
4855,4855,<music21.chord.Chord F#4 G#5>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 2]",82,"[6, 8]",3,21,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Major Ninth,FALSE,Extended Chord,1
4861,4861,<music21.chord.Chord G#4 G5>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 1]",84,"[7, 8]",1,22,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Diminished Octave,FALSE,Extended Chord,1
4864,4864,<music21.chord.Chord C4 D5>,Beatty,Beatty_Musing_for_Piano.xml,"[0, 2]",85,"[0, 2]",2,22,piece34,"Musing for Piano, Op833",No7,OtherSolo,2017,1970-2020,IMSLP,PDF,N,Y,Y,Major Ninth,FALSE,Extended Chord,1
